waypoint,q1,q2,q3,q4,q5,q6
91,2.112104921423689,-1.7299085385851172,1.5499980225804026,-0.9035624724735395,-2.229483565136758,0.0
92,2.0950425817836664,-1.7448860343332373,1.549556512795019,-0.9219071813820404,-2.2161391720056356,0.0
93,2.077054852053074,-1.7596194787837505,1.5491360194935477,-0.9398158656511175,-2.202211922913537,0.0
94,2.0581166920503238,-1.7740929068998945,1.5487341311468847,-0.9572760309957641,-2.1876672720644974,0.0
95,2.0382039238216136,-1.7882896484505588,1.5483487872352923,-0.9742732660016884,-2.1724686552552464,0.0
96,2.017293707785919,-1.8021919373548183,1.547977193090008,-0.990787524172959,-2.1565785008714604,0.0
97,1.9953650846711246,-1.8157808513317009,1.5476155013951747,-1.0067919256291646,-2.139959022342298,0.0
98,1.9723995941746517,-1.8290363441183042,1.5472587168024194,-1.0222523105686125,-2.1225730695068403,0.0
99,1.9483819742598485,-1.841937310532344,1.5469006850438032,-1.0371271025234434,-2.1043850731025664,0.0
100,1.9233009403609074,-1.8544616691989608,1.5465341308085634,-1.0513673778960775,-2.085362084132627,0.0
101,1.8971500392283185,-1.8665864589408345,1.5461507345295693,-1.0649171247445075,-2.0654749034639335,0.0
102,1.8699285667581667,-1.8782879479132046,1.545741244847653,-1.0777136961783045,-2.0446992902029595,0.0
103,1.8416425327416441,-1.8895417552559546,1.545295623901457,-1.0896884643387872,-2.0230172308241463,0.0
104,1.812305648042481,-1.9003229853885357,1.5448032222385453,-1.100767678690773,-2.000418242248052,0.0
105,1.781901088230714,-1.9106161389867409,1.54424254245084,-1.1108538847140796,-1.9769736547985743,0.0
106,1.7503573107120407,-1.920416011635506,1.543574010456981,-1.119827310302065,-1.9528836368171345,0.0
107,1.7177026117440874,-1.9296893465667448,1.542780812816995,-1.1276227945282113,-1.9281971470980204,0.0
108,1.6839828292737096,-1.938401644637777,1.5418506063675588,-1.1341883313401926,-1.9029448064450953,0.0
109,1.6492574697349711,-1.946518062399378,1.540772074789645,-1.1394748231073932,-1.877163776371791,0.0
110,1.6136004233897907,-1.95400362551953,1.5395345553557371,-1.1434351383174397,-1.8509012270537704,0.0
111,1.5771003446199938,-1.9608236732008724,1.5381282466984845,-1.1460252373395916,-1.8242150530175358,0.0
112,1.5398605987093466,-1.9669443987554411,1.5365445572447194,-1.1472058027601673,-1.7971739153796649,0.0
113,1.5019986999650916,-1.9723334518247042,1.5347764909786588,-1.1469439838653213,-1.769856797911678,0.0
114,1.463645185870646,-1.97696058553924,1.53281903735376,-1.1452151042336423,-1.7423520669008261,0.0
115,1.4249419033655548,-1.9807983303487824,1.5306695436172921,-1.1420042202558964,-1.7147560324274982,0.0
116,1.3860397236136057,-1.9838226711225506,1.5283280490291058,-1.1373074264349725,-1.6871710420832031,0.0
117,1.347095747555474,-1.9860136991459159,1.5257975613037715,-1.1311328143374473,-1.659703180967231,0.0
118,1.3082701109954202,-1.9873562066410482,1.523084256216104,-1.12350100656035,-1.6324596897201347,0.0
119,1.2697225389700233,-1.9878401901949723,1.5201975851284757,-1.114445215761983,-1.6055462470468818,0.0
120,1.2315524430821285,-1.9874637708910017,1.5171576849354411,-1.1040419173254308,-1.5791427562006022,0.0
121,1.1937941499074736,-1.986227892024102,1.5139959719158034,-1.0924307280287284,-1.553513880573378,0.0
122,1.1565923082768281,-1.9841300638838062,1.51073302361672,-1.079716517906961,-1.5287614577662405,0.0
123,1.1200859928579294,-1.9811732981541221,1.507389290584437,-1.0660014098636166,-1.504951638377446,0.0
124,1.0844017479291455,-1.977366989509071,1.503987050282662,-1.0513905711562832,-1.482133765387673,0.0
125,1.049651478253549,-1.9727268099474882,1.500550295849769,-1.0359911186766266,-1.460342083482873,0.0
126,1.0159310131908492,-1.9672742945063801,1.4971042078230605,-1.0199097837089104,-1.439596024905772,0.0
127,0.9833193457378542,-1.9610362396554344,1.4936745364276918,-1.003250476195904,-1.41990083528161,0.0
128,0.951878515467324,-1.9540439713693551,1.490286986800302,-0.9861120640777238,-1.401248664926936,0.0
129,0.9216540635301113,-1.9463325312516901,1.4869666515720148,-0.9685865022454642,-1.3836200379965862,0.0
130,0.8926759597754528,-1.9379398278074929,1.483737522543017,-0.9507573888552044,-1.3669855796614978,0.0
131,0.8649598873431835,-1.928905795104184,1.4806221010172051,-0.9326989781212803,-1.3513078785749113,0.0
132,0.838508768004974,-1.9192715947483205,1.4776411180975346,-0.9144756484253349,-1.3365433738568768,0.0
133,0.8133144190501014,-1.9090788883738181,1.4748133665468934,-0.8961417931645065,-1.3226441751444862,0.0
134,0.7893592473009665,-1.8983691987372016,1.4721556384587304,-0.877742082725887,-1.3095597471121851,0.0
135,0.7665802255438003,-1.887179392436731,1.469714349374033,-0.8594028430324715,-1.2973105016742723,0.0
136,0.7448863816121463,-1.8755411727021687,1.4675611818525658,-0.8413372805618843,-1.2859723372127052,0.0
137,0.7242520966969512,-1.8634921574869912,1.4657145310665827,-0.8236159062764382,-1.2754969168466292,0.0
